customer_id,natural_key,first_name,last_name,email,phone,address_line1,address_line2,city,state_region,postcode,country_code,latitude,longitude,birth_date,join_ts,is_vip,gdpr_consent
1,CUST-XAJI0Y6D,Danielle,Johnson,john21@example.net,0419-600-133,3 Robinson Road,,Lisatown,NT,2605,AU,-27.762663,128.131282,1973-06-28,2024-12-07 02:58:02,False,True
2,CUST-PBHSAHXT,Joshua,Lewis,curtis61@example.com,(07)07816184,Unit 10 3 Galloway Entrance,,Port Joshuastad,NT,2975,AU,-31.080420,126.900825,1987-10-10,2025-07-26 13:42:52,False,True
3,CUST-HV3A3ZMF,Jason,Adams,lynchgeorge@example.net,0376483503,64 Jason Ring,,Jasonfort,VIC,2902,AU,-25.028359,133.248960,1997-12-26,2025-06-04 13:10:25,True,True
4,CUST-8MDD4V30,Joseph,Wright,julie69@example.com,(03)28710122,Flat 66 7 Maddox Alleyway,,New Kaylamouth,NSW,2926,AU,-33.079948,134.999532,1986-07-15,2024-04-13 18:29:03,False,True
5,CUST-T9NT3W5U,Eric,Smith,teresa28@example.org,+61-448-932-528,5 Smith Intersection,,Johnbury,NSW,2471,AU,-27.336924,117.620981,1974-07-22,2024-07-04 22:44:45,False,True
6,CUST-ZBIKCIDK,Tiffany,Patel,davidalvarez@example.net,07-8963-8346,8/13 Caleb Approach,,South Adrian,ACT,2681,AU,-32.624698,123.883974,2000-04-10,2024-08-27 19:26:33,False,False
7,CUST-WNNHJ7XV,Rebecca,Heath,palmerjoshua@example.com,03.9973.7631,6 Henderson Path,,East Brucemouth,NSW,2693,AU,-28.216932,126.408388,1985-04-12,2025-01-26 18:18:36,False,False
8,CUST-G0FN9XUY,James,West,dwhite@example.org,7810.8013,77 Michelle Brae,,Port Aaron,VIC,2774,AU,-32.499968,127.823581,2009-10-01,2024-04-15 18:47:01,False,True
9,CUST-41IBLJH7,Rodney,Bernard,smoore@example.org,9805-0097,812 Brooke Street,,Port David,QLD,6909,AU,-33.526513,123.749451,1979-12-02,2025-04-06 12:43:40,False,True
10,CUST-5LXO6QJI,Christopher,Sandoval,sarah35@example.org,(08) 2475 1079,838 Anderson Highway,,South Mikeburgh,WA,4498,AU,-34.183946,119.490775,1968-11-20,2025-10-27 12:12:27,False,True
11,CUST-UJV6OH9S,Alan,Montoya,sarah12@example.com,18244935,4 King Boulevard,,Port Mariaton,ACT,2952,AU,-33.612073,129.110724,1960-06-21,2024-03-22 00:41:30,False,True
12,CUST-DBDW2PCN,Dana,Green,barnold@example.net,1128 0598,20 Diaz Beach,,Jasonbury,NSW,2968,AU,-33.888131,120.762032,1964-04-13,2024-09-01 15:17:07,False,True
13,CUST-9T84AZYT,Nicole,Russell,sarayoung@example.org,08-0256-3421,Apt. 733 54 Jeffrey Stairs,,Port Mark,NSW,2858,AU,-29.639462,127.639099,1972-11-17,2024-10-25 15:37:41,True,True
14,CUST-JXEPQ85J,Ricardo,Zavala,sheila14@example.org,0440.196.556,93 Williams Nook,,South Michaelland,TAS,0851,AU,-29.765154,122.212075,2008-10-23,2025-06-03 18:28:55,False,True
15,CUST-SG65KXVF,Jennifer,Evans,elizabeth56@example.net,(03)-3662-9946,43 Floyd Rosebowl,,Stevenmouth,QLD,3721,AU,-32.463497,115.324845,1990-12-07,2024-09-03 23:55:27,False,True
16,CUST-1T2TALA7,Justin,Beck,clarence34@example.org,03.0037.9176,6 Ross Court,,East Kimberlybury,NT,8708,AU,-29.539863,131.270177,2001-09-06,2025-12-13 17:25:22,False,True
17,CUST-53LC58DR,John,Charles,danderson@example.net,0489 579 868,Suite 774 487 Joshua Brow,,Jimmymouth,TAS,4122,AU,-32.065574,115.876126,1963-10-05,2024-11-19 11:17:22,False,False
